from,to
ELK1,C1orf173
POU6F2,PTCHD2
ERF,STARD10
PRDM1,PCSK1
ESRRB,PREB
KLF14,SH3D21
ITGB2,RHOF
SP8,SNTA1
SP1,G6PD
NRF1,MSH5
KLF16,FAM178A
CRX,NRIP1
NFY,PTCH2
LMO2,GALNT3
HOXC11,RERGL
POU3F2,CD36
TFAP2B,CMTM5
PAX7,RUNX1T1
EGR,CDH2
EGR3,C2orf42
STAT6,AHCYL2
KLF14,MOV10
CREB1,KCNJ8
POU2F1,LGALS3
IRF9,CASP7
FOXD3,PPHLN1
SP3,SYT3
FOXC1,RSPO3
ESRRA,TMEM229B
NFY,ARL8A
TGIF1,KIAA2022
ETV6,TLK1
EN2,SSBP2
NKX6-1,CXXC5
GABP,CRLF3
CACBP,NECAB1
REST,MAPK8IP1
GABP,KDM5C
PAX6,LRRC4C
WT1,FOXJ2
LMO2,TDP1
MEIS2,SCN4B
MLX,SLC25A46
SP4,TMEM102
FLI1,ZNF407
FOXI1,TEX26
NR4A2,PPP1R16B
FOX,MBL2
RFX5,RARA
HOXC12,COX4I1
RXRA,CD47
IRF2,NR2F1
YY1,COMMD3
CPEB1,PNPT1
TFE3,TAF8
NR5A1,KLHL11
KLF16,AP3S1
ETV5,CBX8
USF1,SASH3
RBPJ,SOSTDC1
TFAP4,CCDC19
HSF4,CRYAB
NRF1,TCF19
EBF1,DTX4
MYB,KLF7
CTCF,C17orf49
PITX2,HEXB
ELF3,PTPRR
GFI1,DBI
CREB5,SOX6
KLF12,RAB4B
SP1,NUDT16L1
SP4,B3GAT3
SOX30,PAQR8
ELK4,MRPL51
FOXB1,NR4A3
FEV,PIK3R3
NR4A2,NME1-NME2
SOX8,GRM1
EGR3,TBC1D10A
RFX3,GNG8
MYEF2,POMGNT2
USF1,CUL5
ETV7,CHI3L1
TGIF2LX,DCTN6
ETV1,ZNF226
TFE3,PET117
KLF16,GINS4
ONECUT3,IGIP
NFYA,TOMM40
RFX2,GSTM2
MEF2B,SPAG9
ZBTB12,GOT1
NRF1,CLASP1
RUNX2,PCDHB3
LHX3,PECR
MEIS3,MDGA1
SPI1,OTOS
RFX3,ACOX1
UNCX,KRR1
HOXA3,EXOC4
HOXC13,SCG5
LMO2,ARHGEF1
BARX1,PSD2
EWSR1,SNAP25
FLI1,TMEM68
CTCF,C1orf194
RFX4,DYRK3
SP4,HDGFRP2
UNCX,TLE3
E2F7,MYCN
HOXC12,PXK
FOXO4,SACS
ATF7,RPL24
PROP1,ELK3
KLF12,PISD
CEBP,SMARCA2
AP1,C1orf43
DMBX1,BCL2L13
HOXD10,SPOCK1
RORA,ZFAND5
FOXJ2,PHF21A
PRRX2,TBR1
NFY,ELP4
RFX2,DZIP3
ZNF524,PDE4A
MAFF,ZHX2
KLF12,PCF11
ELF1,EDEM2
GFI1,KNOP1
ERG,VAX1
SP1,USP5
RELA,FERMT2
TFE3,NOL8
ATF1,ACADS
LHX2,BDNF
HNF1,SLC40A1
RBPJ,KIF2B
TGIF2,PHC2
ONECUT3,GRM3
POU2F1,NAMPT
NKX6-3,CLDN12
SOX1,WDR16
YY1,ZNF207
GATA1,AQP3
RARA,CADM4
KLF13,FAM49B
ELF4,ODF2
HNF1B,PPEF1
PRRX2,VPS72
CACBP,LY6H
RFX4,ERF
PPARA,ARHGAP21
HF1H3B,PMVK
NRF1,C9orf156
NFE2L2,GCLM
YY1,TBRG1
REST,POU3F4
RFX3,PRDM4
SP4,ZNF274
VAX2,SLC39A6
VAX1,MBIP
HESX1,GNG8
POU3F2,NRXN3
POU3F4,LRAT
ATF3,CLSTN2
EVX2,SALL4
DMBX1,SEMA4A
RREB1,RAB3A
BARHL2,AMER1
EBF1,FHOD3
RARA,ATP2B1
SP1,TTC31
CEBPA,OXSR1
MYEF2,CBLN2
POU4F2,MACROD2
CREB3,PRRX1
CPEB1,RAPGEF3
SP3,SCFD2
SPI1,WDR83
RXRG,PCBP1
PAX5,KIF1B
RARB,MRPS6
SP4,SRD5A1
LBX2,KLF1
HF1H3B,POU3F1
HSF2,PLEKHA6
NFYA,FAR1
ETV5,CCT2
NR2F6,POU3F4
RELA,ACVR1B
SP1,FUT8
SPIC,SLC39A13
SP1,ATP10D
ELK4,PSMB7
POU,TMEM256
CACD,RAB30
ETV2,FKBP14
PGR,RPS19BP1
GLI2,MUC5AC
ELF2,GABPA
NRF1,VPS8
SP1,ZC3H18
SP4,BAIAP2L1
POU6F2,CYP46A1
STAT6,ABI3
RFX7,DNAH2
TFEC,HDAC4
E2F1,ORC1
E2F1,SEMA6D
GBX1,BOC
KLF4,PIGW
POU2F2,KLHL41
TCF7L1,SOX6
MYEF2,OGFRL1
NRF1,TMEM182
E2F4,ATP2B1
ESRRB,DDHD2
POU,MAPRE2
SOX17,FANCM
FOXO4,XPO7
OBOX3,TAOK1
POU2F3,DLX1
TGIF2LX,FHAD1
ESRRB,WNT7B
ALX4,FHDC1
EGR1,AZI2
KLF4,DNAJA4
EVX1,GPM6B
NKX2-6,BMF
SOX9,APC
PAX5,TTI1
TFAP4,VGF
HOXC10,TTC1
MEIS2,ASB8
TFCP2,AL355490.1
HOXC8,ERG
KLF4,IL10RA
E2F1,KLHL42
NR2F1,SEMA6B
YY2,ORC1
TEAD1,PSRC1
ETS1,SLC18A1
SRF,ST6GALNAC3
FOXL1,PCSK6
EGR3,RNF180
ETV7,PRF1
FOXJ2,DIP2B
OBOX3,IP6K3
NFYA,TMCC2
GTF2I,GRM4
ESX1,KCNJ2
ETV3,SENP7
E2F1,PTPRS
SP4,VPS29
SPIC,LY6G6D
SP1,PTPRD
KLF14,PTPRS
TCF4,PWWP2A
DLX2,S100A8
KLF14,CXCL16
AFP1,LYN
SP1,RASSF7
GSC,CCR5
COMP1,GPR52
GSC2,PARVB
EN2,CLDND1
MAF,TRPC6
CACD,C6orf52
HNF4A,PIGM
RUNX2,APLNR
SP1,ABT1
SP1,ARL14EP
FOXJ2,SPSB3
ETS1,ARHGAP9
RFX3,YRDC
RFX4,DERL2
HOXC8,MGA
MYOD1,RNF208
E2F1,ACBD6
TFAP2C,RFX7
CACBP,AIDA
HOXB6,CELF4
FEV,KCTD2
FOXO3,GFRA1
EVX1,KCNT2
KLF4,TAX1BP3
HF1H3B,CCND2
GLI2,IGSF11
HOXC13,SLC6A6
KLF14,SGMS1
EN1,C7orf50
KLF4,ZNF205
EGR1,DKKL1
TCF7L2,BRE
EN2,NPAS1
BARX1,NHLH2
GATA6,CHN1
KLF16,CHRM1
POU5F1,GID4
PPARG,TDRD10
SP4,ASXL1
IRF7,MC4R
HNF1A,STXBP1
KLF7,TFCP2
DLX1,HOXC10
ETS,CHD9
KLF14,DMXL1
KLF4,USP18
RFX3,PTTG1
KLF4,PCDHB2
NFATC1,SRFBP1
CREB1,BTAF1
ZNF281,MDK
ALX3,NUMB
CREB3,EFNA2
NFE2,SERPINA1
NFY,DDX50
SOX2,KIFC3
HF1H3B,RFX5
SP1,CA13
CPHX,CLASP2
NR2F1,NAV2
ETV7,AP3S2
NKX1-1,PTPRA
NFIA,TCEANC
TBX4,FABP7
RFX1,TJP1
NR2E1,ZBTB47
ELK1,ATF4
ZNF143,PRMT5
DRGX,JARID2
GABP,DOCK4
ATF3,GNB2
ETV6,IL6R
TP63,DAB2IP
PROX1,NEDD4L
KLF4,EIF3A
ZIC3,GORASP2
HOXA13,FPGS
FEV,TFEC
NR5A1,NDRG3
POU2F3,MN1
OBOX5,PTPN2
ZBTB14,SRSF4
FOXA,SCRN1
FOXC2,ARRB1
RFX1,AGXT
TEAD4,TMEM88
E2F2,CTNNB1
ETV4,SHC1
KLF4,ABCB8
PAX2,ARPC1A
NFIC,SLC24A5
NFYA,GORAB
SP3,FGFR3
KLF14,PHLDB1
KLF13,ELF1
RELA,ZFP36L2
MSX2,LPAR4
SP1,COMMD3
ESRRG,SEPHS2
SP4,RBM42
POU5F1,TRERF1
CREB1,TRIOBP
OLIG2,MBD6
MAFB,AIF1
RFX5,FTO
SP4,GINS1
POU3F1,ITPR2
ZFX,CPA1
KLF4,CCDC96
SP1,SIX3
RFX2,SEC61A2
CPHX,CPVL
PRRX2,PREX2
GFI1,YWHAZ
SPIB,M6PR
KLF16,FSIP2
NFIB,NFIL3
SP3,MGA
RELA,CD200
ARNTL,HPS3
EGR1,CHIC1
KLF4,BCL2L2
SMAD4,COPZ1
NFYA,MFSD11
EBOX,SEC24A
NFIC,C22orf43
NFY,KIAA1377
KLF16,SNX11
ELK1,NES
YY2,TRMT12
JDP2,FKBP15
IRF,ITGA7
HNF4,HEPACAM
SP8,SMPD4
PAX5,DNAJB5
KLF16,MAGOHB
MYEF2,C7orf62
ZBTB18,PPP1R9A
HIC1,MCF2L
FOXO3,SEZ6
REST,CHST8
EGR,PTPN2
SP1,BAK1
HDX,NSMCE4A
ETV6,C3orf72
VSX1,CD34
KLF14,PTGES3L-AARSD1
PKNOX2,EOMES
E2F4,CDK19
ETV7,ZNF653
ELK3,PSMC1
POU3F4,CLTC
HOMEZ,ANKFN1
POU2F1,ERICH1
MNX1,NR2F2
NR2F6,NFIB
OLIG1,JARID2
WT1,EPB42
BATF3,TMEM187
NFE2L2,COX4I1
HF1H3B,CCDC25
ZNF740,HS3ST2
SOX4,WIBG
HF1H3B,IRS2
FOXA,CXXC4
POU2F2,PRKRIP1
KLF16,SIN3A
RFX2,COA7
IKZF1,ADAMTS14
NR5A1,PCDHAC2
SOX7,CORT
FOXC2,GNPDA2
MYOD1,MINOS1
POU3F3,PDP1
GLIS2,KCNS2
ESR1,FAM19A5
EOMES,SPDYA
SOX,TUBB4A
OTX2,CDCA2
EGR3,MAGED4
PAX6,C1orf64
TFAP2C,PROZ
EGR,PAFAH1B2
GFI1B,EEF1D
CUX1,PLEKHA5
SP1,PLEKHO2
PHOX2B,PCDHA13
ETV6,LGALSL
PAX6,SLC8A1
CUX1,FUCA2
SP4,RAD9A
ESRRB,DHRS3
RFX5,GPR17
KLF14,PAK7
ETS1,C2orf44
TCF21,RPP25
VAX1,DDN
ATF2,PRX
KLF4,SPATA7
TLX2,RNF144A
MEOX1,ZNF524
RARG,SERPINE1
JDP2,OGFRL1
KLF16,EPHA10
FOXA1,DCP1B
ELK1,TTC30B
HSF1,SYT10
NHLH1,ATF6B
CTCF,HIAT1
POU2F2,PRR5L
DDIT3,DNAJB5
SOX3,PTN
LHX5,CREG1
POU2F1,LRRN3
EBOX,GRIK3
KLF13,COPE
SPIB,ZNF507
ELK3,PPIL1
ELK3,OGG1
USF1,PPP1R3B
KLF4,NDUFA5
ZNF143,HBZ
E2F3,CTDSPL2
HOXC10,GABRA6
MEOX2,MSX2
ATF4,ATP6V0B
RELA,MTRNR2L3
FOX,RUNX1T1
ZNF652,TIGD7
PAX4,GDPD2
SP3,PDHX
SP4,TIMM44
TFE3,NEURL2
ELF4,ZNF197
ERG,JUN
TCF4,PGM3
ELF5,PSMA3
HOXB2,PITPNC1
KLF7,TBC1D10B
YY1,GIT2
AP1,NCOA2
PHOX2A,CD36
BARHL2,NADK2
KLF14,RAI14
PRRX1,QSOX2
EP300,LRTM2
ETS1,NR1H2
NFY,PTPRA
ZNF143,NDUFB10
POU3F2,RFTN2
TCF3,ABCG5
RFX2,ARL3
GABP,TRMT11
YY2,SMEK1
GABPA,C6orf52
IRF,KDSR
DLX3,RMI1
RFX4,TEX2
ETV3,USP39
NEUROD2,MBD6
SP1,KCTD11
E2F1,TMEM106C
ZNF652,CRYAB
FOXA1,CSGALNACT2
E2F1,RNASE4
TAL1,RABGGTA
SP1,SEPT5
MYBL2,CCP110
NFY,HMGB2
FEV,KSR1
E2F4,NFYA
ELK1,TRMT44
POU6F1,UMPS
EGR,TMEM131
FLI1,FBXW2
LHX8,TMEM9
RFX7,DTX3
ATF3,SLC35F5
IKZF2,PIH1D1
JDP2,UTP15
RUNX1,USP6NL
NFAT5,SLC6A12
FEV,NELFCD
BHLHE41,UVRAG
GFI1,NARS
ETV7,ERH
WT1,GABRG2
POU3F1,OMD
RFX3,MPZL3
BACH1,FRY
BARHL1,LPAR4
REST,ZNF335
RARA,KREMEN1
ETS,SOX2
CPEB1,FAM178A
RFX2,LAMA5
SP8,RGL1
POU4F1,DAB1
MSX2,ERLIN2
GABPA,C2orf43
HOXD10,NRXN1
NFKB2,HIVEP2
ESX1,CLDND1
NFAT5,MED7
ETV7,SPN
HNF4,CDHR4
SPIB,SOX4
AR,BMP5
FOXC2,DOCK9
STAT6,CYTH4
NRF1,DPH6
ETV4,TRAPPC1
PITX3,MEOX2
KLF16,RASL12
ELF4,FAM53B
ELK1,KTI12
RARG,KPNA2
SP1,BHMT
HOXB8,KSR1
KLF7,FARS2
REST,DEPDC5
NFE2L2,CA12
HF1H3B,C1orf122
GABP,SEC24A
POU6F1,BACH2
POU,ALOX5
EHF,SNX11
NFY,SLC25A17
SP8,NELL2
MYEF2,RFX4
EGR2,KIAA1217
IRF3,TUSC5
RBPJ,COX7C
ATF1,TUSC2
GBX2,NRN1
RARA,PLA2G16
PAX4,POU3F2
CREB3,NUBPL
JDP2,NXN
VSX2,ZC4H2
EGR1,AP000974.1
ESR2,SPERT
KLF12,DDX27
HOXA3,PREX1
HOXA10,OTX2
NR2F1,H2AFY
SP1,FOXM1
RFX2,PEA15
HOXC10,CDH2
NRF1,BRAP
POU5F1,AFP
ARID3A,ARGLU1
GSX1,CDC25C
TBP,ANXA2
GABPA,RBCK1
FEV,FGF5
GABPA,REL
MEIS3,SCN2B
AFP1,ERBB4
SPDEF,ZNF665
NFKB2,TNFRSF12A
NR2F1,APOA1
PATZ1,RPRM
TBX21,PHC1
KLF7,NEU1
DBX2,ASPH
AR,SCRG1
SPIC,FAM32A
IRX2,GRIA2
POU3F4,SDE2
ELK1,RFC2
RORA,CDH13
ITGB2,HRC
TBX1,SLC12A4
SREBF1,HDAC5
EGR,FAM214B
POU3F1,CDC42BPA
AP3,RBKS
CTCF,TMA16
OTP,SMIM19
ETV3,XRCC4
NFE2L2,FTSJ2
SP1,DEDD2
PITX2,TCN2
LBX2,KCNJ16
MYF6,ACYP1
BHLHE40,USHBP1
CREB3,SLC45A1
POU2F1,SEL1L3
HDX,GPR155
DBX2,LCP2
RXRA,SHROOM2
KLF12,ANKRD12
SP4,GFER
SP1,NKX2-2
NHLH1,NEK6
MSX1,TNIK
HESX1,MGEA5
NFY,LMO3
SP4,BHMT2
BARX1,DDX58
ZBTB18,SPRED2
EGR,MAP1A
EHF,TANGO2
EGR,SOCS3
EGR4,ZADH2
PKNOX1,SLC10A4
DMBX1,KLHL24
TBX1,SH3KBP1
ETS,C14orf159
NFKB,SEC24A
MYOD1,SGK3
EGR1,LMBRD1
CACD,STX2
NR6A1,CNR1
POU3F1,OTX2
HSF4,MLTK
TBX2,STX19
SP8,MYB
POU2F1,HMGN1
ZNF75A,ZFP14
KLF16,SLC43A1
KLF7,CIB2
ETV3,LENG8
ERG,PGAP3
SP1,DPYSL5
USF1,AGTRAP
SMAD4,ACAP2
TFEC,DHPS
FEV,FLOT2
ATF4,SERPINA1
ZNF219,TAF8
RUNX2,DHX32
AP3,KCNA3
SP1,MYL6B
AP1,HSF2
KLF14,GPR137
SP3,ORC4
RFX5,C22orf43
EHF,CIAO1
POU4F1,PCDHB4
POU4F1,LGI2
NKX6-1,EVX1
ELF3,MYO9B
HOXD3,SGTB
PITX3,PRSS57
NFYA,CXorf67
EGR3,FAM102A
MEOX2,CORO1C
RXRA,NARS
EGR1,NHEJ1
ETS1,GNGT2
ESRRA,ST8SIA6
NRF1,RAPGEF6
CEBPD,MPST
ZNF75A,ZBTB14
POU3F2,SAMD12
FOXA,ADAMTS6
ELF4,DCAF10
TFAP2A,MT3
HNF4A,IFFO1
ETS2,HJURP
JDP2,CCDC169-SOHLH2
GABPA,RAB11A
CPEB1,LAMP2
ARX,SCN2A
LHX2,PURG
HBP1,TXNL4B
PPARG,KLF10
RFX4,TTC8
SP1,PTBP1
SP4,GALNS
STAT,C2CD4A
NFATC1,BTNL9
ELK1,SBF2
DLX5,RGS7BP
ETS2,NCF4
RUNX2,BCL3
TFE3,SEPT2
HOXA4,PLA2G7
MYCN,POP1
GABPA,ACIN1
SOX3,NRG1
ETS1,CHUK
ALX1,CDH20
EGR,COL12A1
MYCN,GLTSCR1L
HNF4A,APOC2
SP1,HTR1A
NFIC,ELN
FOXF1,MEIS2
DBP,F11
PBX1,CARD18
NR5A1,RHOBTB3
NKX6-3,INPP4A
ETV5,LAS1L
HLF,MAEL
KLF7,SETD8
ETV6,HSP90B1
ETS2,SAFB
CREB,DDX51
E2F2,MIER1
TFE3,ATXN3
BATF3,RFC1
NFKB,PHF21A
HMX1,MEF2C
EGR3,TOX
MEF2D,HIST1H2BB
KLF7,HDAC3
PGR,TNKS
CREB3,WNT10A
KLF14,BARD1
RORA,CYP46A1
VENTX,JADE1
NFKB,NRIP2
ALX1,GFRA1
IRF,CD36
POU2F1,RTN1
GBX2,C19orf54
ELK1,DNAJC24
ETV6,SYNE1
CTCF,PDGFC
VSX1,ELMO1
STAT5A,MAP7
RUNX2,ERO1LB
FOXA2,ELAVL2
NFIB,ARHGEF2
RARA,EIF1
NRF1,PPP2R3C
ZSCAN4,NTSR2
ISX,UROS
POU1F1,C12orf42
HLF,PPP3R1
SP8,FAM49B
RFX1,C1orf189
NR5A2,YOD1
SOX3,GPCPD1
SP4,SOAT1
DMBX1,RNASEH2B
TFAP2C,EHD3
HOXC11,GABRG3
CTCF,FAM129B
EN1,DLX5
POU2F2,LETM2
ESRRG,TXN2
NR2F6,KRT20
GSC,NLGN4X
FOXD2,TMEM254
KLF7,THRAP3
NR3C1,TMPO
HOXB13,GBF1
CREB3,ELOVL6
YY1,SLAIN2
HOXA1,FCGRT
SOX5,GPM6A
ELK1,CCDC108
BACH1,ZC3H12D
MEIS1,ATRN
MYB,MEX3B
MSX1,RD3L
SOX15,DGKB
ETV1,TTPAL
GABPA,CNTROB
NKX6-2,ELMO1
KLF12,PIK3R4
SP4,SLC30A9
CREB5,CDK5RAP2
ETV4,CYB561A3
SOX17,CER1
RELA,PDPN
ATF4,MXI1
FOXA1,FOXN3
KLF14,CXXC5
CREB5,MOAP1
POU3F2,SLC52A3
SP1,WDR44
KLF16,RPS24
FOX,TNRC6B
KLF14,ASNS
RELA,FAM81A
NFYA,PI4K2A
EGR2,TMEM180
ELK3,AP5M1
ZNF691,C1QTNF5
SRF,ENTPD4
POU3F1,FAM76B
FOXL1,RIMS2
SP1,FAM98C
NR4A2,PLK2
HSF2,LINGO3
RAX,ADD3
POU3F4,XRCC4
HOXD10,FBXW7
EBOX,PRKCB
STAT5A,EIF5A
HOXA4,LMO4
HOXC10,MARCKS
EGR2,KREMEN1
MSX1,ROBO2
SP1,ZFYVE21
BACH1,ZBTB33
NRL,SMIM4
KLF4,FGFBP1
KLF4,LSS
IRF9,DGKE
FOXA2,CER1
PHOX2B,BEND5
NR3C2,MRPL33
BACH1,RAPGEF1
MEIS1,LSM11
PPARA,FBXW4
TLX2,ONECUT2
PPARG,RARS2
KLF7,ATM
SP8,CADM2
POU2F2,THAP2
TCF3,LRAT
EGR3,TNFSF12-TNFSF13
LHX3,LMO4
HOXD10,FAM133A
SP1,RITA1
MEF2B,MMP1
BACH1,UQCC2
IKZF2,NHLH2
LEF1,CACNB2
NR4A2,HLA-DMA
DUXA,CCHCR1
PKNOX1,HCFC1
HOXB5,RFTN2
GABP,LPIN3
TCF3,TIAM2
NKX6-2,KRTAP3-1
NKX6-1,TAC1
FOX,SCYL3
RFX2,GRIK5
STAT5A,SERPINE1
MEIS1,CD36
ERF,TMEM68
EWSR1,SIX3
ATF3,ZBTB33
SOX12,PPHLN1
FLI1,MAK16
ELF2,FBXO22
HSF1,PGRMC2
TP53,EPB41L1
HOXA10,STX2
NKX2-5,ADORA1
MEF2A,MAST4
HOXD9,CLASP2
FOXJ3,OGFRL1
LEF1,E2F3
SPIB,FKBP15
ELK3,GLTPD2
SP1,FAHD2A
TCF21,COX5A
RFX5,CTNND2
KLF7,SYS1
NRF1,GTPBP10
EGR1,PLAGL1
FLI1,OTUD5
RFX3,PCDHGC4
NR5A1,PGGT1B
NFY,DNAJC12
FOXJ1,CDH10
EGR,TENC1
AP1,CTDSP2
SP4,IKZF5
RFX4,ARFIP1
HOXA13,SNN
HOXC11,PRLR
SP4,RILPL2
ISX,KCNT2
IRF8,TSFM
KLF4,DSTN
LHX1,ZIC2
HF1H3B,NRF1
SP3,GALE
VSX1,RPS11
SRF,ACTA2
POU2F1,CELF2
HOXA9,UBTF
HF1H3B,MAT2A
MGA,FAM65A
EMX2,NLGN4X
POU4F1,STAT3
FOXA1,SEMA6A
NRF1,HSDL2
HMX3,VIP
RFX5,RPL36
NR5A1,CERK
ASCL2,ISG20L2
SP3,ATN1
ETV6,GNAI3
YY2,MUL1
SPZ1,POU3F2
TCF7L1,H2AFX
RFX1,NEUROG1
SP1,USP49
ZIC2,SYT3
ETS,THBS1
KLF4,JAZF1
KLF4,TRIM28
ELK4,PCSK7
KLF13,SPRED1
CTCF,PPP1R14A
POU3F2,CSNK2A1
NR2F2,IRF2BPL
ELK1,FAM126B
SP3,CRELD2
STAT,PSMD3
HNF4A,GBGT1
IRF3,PBLD
ETS,KIAA0141
DLX4,SGTB
NOBOX,LPAR4
CREB1,TMEM86A
ZNF143,ABCF3
IRF,IGF2R
AP1,ARHGEF15
NKX6-1,LMO4
SPDEF,TCF4
ZBTB18,RFC2
NR1H4,WFIKKN2
AR,C1QB
POU2F2,STC1
FOXJ2,C7orf62
JDP2,SKP1
TFAP4,CCL2
E2F1,KCNS2
ETV6,FAM173A
GCM1,CXCL14
EN2,KDM3B
CACD,FAM20B
DLX5,CECR1
T,GKN1
HOXB5,JAKMIP2
KLF4,RND2
RARA,ARID5B
NFKB1,MALT1
ELF2,ANKRD44
GMEB2,TICRR
TGIF2,CD47
HOXB9,YRDC
PATZ1,SLC8A2
GABPA,ZNF773
SOX5,RXFP1
VSX2,COG6
MYF6,BMX
NFY,NDUFB11
RFX2,MYT1
HERPUD1,MTHFR
GABPA,ZNF812
SP1,GPR20
MZF1,DPYSL5
SP4,MPP7
ASCL2,WNK1
ESX1,DNAJC1
PGR,CXXC5
ETV6,CLIC1
SPZ1,KCNC1
DPRX,C2CD2L
TFAP2C,C12orf68
RARA,PTPRJ
ATF4,MID1
TCF3,KRT8
YY1,COG2
PPARG,RYBP
TCF21,PNRC1
TP53,PDZRN3
HOXC4,ZNF536
EN2,TEAD2
NFYA,C3orf67
CRX,IQCJ-SCHIP1
NFE2L1,EIF1B
ZFX,LOXL3
KLF12,NDUFV3
POU3F2,CREB3
EGR,MPPED1
SHOX2,NLGN4X
RFX3,TFB2M
RREB1,TOB2
ALX3,UMPS
NFAT5,MT3
ETV6,CSK
SP1,APOBEC3B
JDP2,C6orf99
SOX11,C10orf90
NR1H4,GCSAML
KLF13,NDUFAF3
SP1,ARHGEF40
RUNX2,EYA1
CREB,BTAF1
HOXA9,XPNPEP2
MYOD1,ARHGEF2
NR2C2,NR2C1
MAFG,DNAI1
ETS,NT5M
E2F4,HIST1H2BL
NRF1,SMC5
ELF4,AKNA
HSF1,SH3BP4
ETV6,MCM3AP
NFY,MRE11A
KLF7,ZNF608
POU3F2,KRT20
HNF4,ADAMTS10
MYEF2,ATP2B2
ELF2,CLCF1
GBX2,FAM117B
ETS,HCLS1
ZIC4,CCDC71
ETS1,EIF4EBP2
RFX2,MTOR
ERF,PLCL2
ZBTB16,CACNA1E
CREB3,UCN3
NFE2L2,ZNF79
IRF1,STARD3NL
HOXA5,RAPGEF1
HNF4,PHACTR4
PHOX2B,PRDM15
HOXB4,PLXNC1
HOXA5,MGAT4C
POU2F2,ACSL4
ETS,APH1B
FLI1,STAR
HF1H3B,GPR25
SP3,KDM3B
CREB3L2,ST3GAL1
AR,PA2G4
RFX5,LRIF1
NRF1,SPG7
IRX6,WHAMM
NR5A1,SPATA12
PATZ1,GON4L
PKNOX2,GALNT2
POU4F3,CDH4
VAX2,SERTAD2
HNF1A,VEGFA
E2F1,SMC3
TFE3,CCNT1
NR2C2,TMED10
MYF6,C20orf196
GTF2I,HIF3A
ARNT,MYT1
PRDM1,LRFN3
GABP,C15orf38-AP3S2
HOXA10,PTPN1
FOXO1,RICTOR
HOXD13,KIF18B
ATF3,TMEM39A
HF1H3B,KCNAB1
HOXB9,GAD2
SP3,EGLN2
NFYA,HNRNPLL
FOXP1,STOML3
SIX1,HSBP1
CTCF,CIRBP
TFAP4,C1QTNF5
TCF7L2,ZFAND5
NKX6-1,LPHN2
RFX7,CEP112
MEIS1,TEAD2
YY1,TRUB2
RFX4,GNL2
NR3C2,NAT16
NR2F6,THSD4
CTCF,STXBP1
NFKB,LRFN5
ETS1,ELAVL1
POU3F4,C22orf29
EVX2,VDAC1
KLF14,UGT8
ETV3,WDR1
RUNX2,TMEM87B
NR5A2,EOMES
LMO2,GNG8
TFEC,APEX1
MAFG,PDE6H
RFX3,PLIN5
HOXA6,PDE4D
SMAD,SLC22A6
LHX9,ZNF579
TAL1,SCG5
RFX1,ITPK1
ITGB2,CAP1
EWSR1,BRINP3
ZBTB14,PDGFRB
ETV3,JUN
NFIC,RAB27B
MAFK,AKR1E2
CTCF,ZNF329
SP3,RAB3D
GSX2,C6orf141
E2F2,TRMT5
SP4,MED17
EN1,HAO1
POU5F1,HIC1
PDX1,PTK2B
NR2F6,ETFA
ZBTB18,NT5C2
SP3,FBRS
SP8,NRSN1
ATF1,NDUFA7
TAL1,THOC1
ZBTB14,WNT7A
HOXC8,C8orf46
SP4,RAB11FIP5
EMX2,PLGRKT
SHOX2,ATF7
PAX7,HUWE1
EHF,PELI1
FOXO3,TMEM260
RFX2,XRCC1
HMX2,LRRC7
GBX2,TMEM238
TCF7L2,CLASP2
KLF12,TERF2
EGR4,EIF5A
RFX3,PUM1
HMX1,GFAP
KLF4,SLC16A10
HNF4A,UBA6
SP1,WNK1
HOXC11,NR2E1
NKX2-6,SPG11
IRF8,TMOD2
ETV3,DLX1
RFX3,C12orf49
LHX8,CACNA2D2
CREB,RMDN3
LEF1,PCDHGC5
ONECUT1,LGALS3
USF1,C1orf61
PAX4,OTX2
NR4A2,LTA4H
LHX4,TFDP2
EGR1,DNAL4
MYCN,RFX1
RARB,SMOX
RUNX2,RGS13
NFY,GCDH
SP4,PPP1R3E
CACD,PLCXD3
TFAP4,CACNG5
KLF12,CORIN
HOXB9,SORT1
ZNF740,SEMA6D
KLF16,PRKRA
ZNF281,SCG3
TFEB,LIN28A
ELF3,KIAA0825
EN2,LHFPL4
LBX2,ISOC2
NFIA,RIN3
SP1,TRMT61A
TFAP4,MLIP
RORA,PGK2
FOXC2,CD47
HOXC12,SCRG1
SP1,LHPP
LHX9,HSD17B2
SP8,NKRF
MNX1,SF3B5
SP4,CDK2
HOXC4,NLGN4X
MEOX2,EIF4G2
ESRRG,GRAP2
NKX6-1,NR4A3
CREB5,TMEM187
SP3,RUNDC3A
RORA,RNF157
ELF1,CDKL3
HNF4,CRYAB
ELF3,RASGEF1A
KLF7,CYBA
RELA,ZBTB7A
SRF,TNS1
HF1H3B,GRM8
NFIB,TNC
NFKB,MXI1
TFAP4,RBM5
KLF16,CAND2
EN1,ABCA13
MGA,RNF152
KLF7,POU4F2
POU1F1,PDP1
ZIC2,DGKZ
BARX1,DGKB
HNF4,MTUS1
KLF16,GNL1
ISX,CDC23
SP4,CDK5RAP3
HNF4,GRWD1
RUNX1,GRAMD4
TFAP4,OMG
RXRA,MAGI2
ESRRG,ACSL6
NOTO,KIF20A
MYEF2,TLK1
KLF14,DMWD
HIC1,NKX2-2
SP1,SMIM14
SP3,C1orf27
ZSCAN4,HS3ST1
BCL6B,CNOT7
