from,to
MSX2,PCDHGB7
ZIC1,ZNF385B
SP1,ACTR8
RFX1,STIM1
SP1,RNF165
ELF1,HIST1H3E
KLF7,SOX12
E2F1,LSM5
SP8,PNKD
ETV1,XPO6
RELA,POLDIP2
GSX2,BRD8
POU,EMC8
EGR1,GTPBP3
DLX1,TMEM60
MEIS3,FAM193B
TFAP2E,PSMB6
NEUROD2,CACNB4
NFATC1,FGFR3
RFX4,GBF1
PDX1,ZNF444
KLF16,BMF
ZIC1,C9orf171
CTCF,MRPL38
NFIC,BLOC1S5
OTX2,TTC9C
SPI1,NES
EN2,NADK2
TCF3,TDRKH
ETV3,CLDN7
MYB,HCN4
TBX21,C12orf42
ZNF740,SEMA4D
RFX1,MFNG
MYF6,FAM69B
SP1,WBSCR22
MSX1,CHST8
BACH1,RPE65
MAFF,NRP1
ELF5,FCHSD2
SPIB,CACYBP
FOXD3,CAMK4
NKX6-1,ZKSCAN2
CPEB1,NR2E1
RORA,PIH1D2
JDP2,PER1
PBX1,CHDH
KLF4,TRIM14
POU3F1,CCR2
GABP,COPG1
SP1,TRPM4
LEF1,PLCH1
JDP2,SOX2
NRF1,SPTLC1
ALX3,AGRP
CACBP,AC079354.1
SP1,FASTK
HNF1,HAO1
ARNT,GRIA4
ETS,GPR4
FOXJ3,ZNF597
SP8,SNX1
BSX,LRRC23
MYOD1,FPR1
TFAP4,TMEM100
E2F4,C7orf55-LUC7L2
RFX4,PEA15
MEIS2,IRGQ
E2F1,CNTN4
POU3F2,NDFIP2
HSF1,CTDSPL2
PPARA,MED8
ZNF219,SP8
SP3,C11orf1
SP8,SLC12A9
RXRG,MRPL10
RARG,SLC22A4
ZIC1,TMEM151B
HOXB13,R3HDM1
NKX6-1,MMS22L
ATF1,FBXL12
ZBTB18,LRRTM2
FOXI1,PACSIN1
ZNF219,PTPRS
CREB3,CILP2
NFKB,STX6
ETS,ANXA2
FOXL1,ARHGEF26
SP4,SLC11A2
RXRG,PIP4K2B
EGR,SMAD4
RFX4,ENKUR
NFY,TCF15
HNF4,FAM170A
EBF1,PCDHGA6
ETV6,CMIP
POU3F1,MYCBP2
GFI1B,BCL2
HNF4,ACTR1A
USF,ICAM2
PAX4,ZBTB18
KLF7,ZMYND12
RFX1,PRPF4
IRF1,IDO1
LEF1,C6orf223
MEOX2,SLC20A2
EN1,ARVCF
SOX8,APCS
UNCX,PFKFB3
AIRE,SEMA6A
SP1,ARHGEF12
NFY,KDM4A
RXRA,ZNF148
SP1,PXMP2
VSX1,BBS12
STAT1,PCSK5
ETV7,ELMSAN1
FOXA,MINK1
POU3F1,MSTN
RFX4,HDAC10
MAFK,SHB
VDR,CACNA1E
SPDEF,MAP3K7
NKX6-1,PTPN9
ISX,NTRK2
USF1,ILDR2
ERF,DGKA
TFAP2,KIF17
MAFK,TOX2
BACH1,CAPN2
ETS,ANTXR2
RARA,LRFN5
ARNT,NDUFA7
CREB3L2,SNAP29
POU,LHX6
ZFX,BMI1
MYOD1,GRB7
STAT3,RAPH1
SP1,COL25A1
NR2F6,CBLL1
YY1,NHS
HOXA13,ENSG00000198743
LBX2,SLC9A7
NR2F1,ASB3
SP1,KIAA1456
SP4,GLRA3
ESRRG,GRM5
ELK1,TECPR1
E2F2,FRMD3
TFAP2A,SOX5
GABP,SOWAHD
SOX10,BARHL2
NR1H,HIC2
NR4A2,ERLIN2
NKX6-3,GNB1L
NHLH1,TNNC1
NRF1,SNRPB2
ALX4,PCDHA6
GABPA,MBNL3
SP1,NGFRAP1
ALX4,PCDHGA7
GATA5,ZBTB8A
CREB5,MAP1LC3A
RARG,MEIS2
RFX3,C11orf70
ZNF143,TACC1
SPIB,DOCK2
AP1,NPPB
FLI1,IGF2BP2
HESX1,CDC42EP3
GBX1,EMX2
SP4,ASPSCR1
SP8,PPP2R2A
HOXD13,EDN1
SP1,ADAM11
SP1,KIAA0226L
SOX14,PPP2R3A
ETV1,EPN1
HOXA9,ADAMTS5
FOXA,SSRP1
NFYA,DGCR8
RARB,TOP2B
ELK3,NOC3L
CREB1,TROVE2
SP1,ATAD2B
GABPA,PTRH2
USF,RPS28
HOXD1,RAB27A
RFX1,IQCD
BACH1,NSMCE1
EN1,KCNC2
NFIB,STRIP1
MZF1,PHOX2B
ELK4,ZNF134
HOXA13,NKX2-2
POU6F2,DYNLRB1
RFX2,AKNA
HOXC4,FAM184A
EGR,HNRNPU
LHX3,RHOH
TCF4,YEATS2
CREB3,ZNF34
GABP,SUPT16H
NRF1,SLC32A1
ELF3,PTAR1
ZFX,DST
